Month,"Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Offshore (Number of Rigs)","Crude Oil Rotary Rigs in Operation, Total (Number of Rigs)","Natural Gas Rotary Rigs in Operation, Total (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Horizontal Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Directional Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Vertical Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Total (Number of Rigs)",Active Well Service Rig Count (Number of Rigs)
1974 September,1437,90,Not Available,Not Available,Not Available,Not Available,Not Available,1527,2473
1974 October,1493,91,Not Available,Not Available,Not Available,Not Available,Not Available,1584,2488
1974 November,1497,99,Not Available,Not Available,Not Available,Not Available,Not Available,1596,2503
1974 December,1540,103,Not Available,Not Available,Not Available,Not Available,Not Available,1643,2543
1975 January,1521,94,Not Available,Not Available,Not Available,Not Available,Not Available,1615,2582
1975 February,1518,93,Not Available,Not Available,Not Available,Not Available,Not Available,1611,2549
1975 March,1549,102,Not Available,Not Available,Not Available,Not Available,Not Available,1651,2568
1975 April,1503,102,Not Available,Not Available,Not Available,Not Available,Not Available,1605,2549
1975 May,1490,102,Not Available,Not Available,Not Available,Not Available,Not Available,1592,2374
1975 June,1507,106,Not Available,Not Available,Not Available,Not Available,Not Available,1613,2426
1975 July,1508,109,Not Available,Not Available,Not Available,Not Available,Not Available,1617,2344
1975 August,1533,112,Not Available,Not Available,Not Available,Not Available,Not Available,1645,2369
1975 September,1586,113,Not Available,Not Available,Not Available,Not Available,Not Available,1699,2459
1975 October,1604,112,Not Available,Not Available,Not Available,Not Available,Not Available,1716,2434
1975 November,1644,113,Not Available,Not Available,Not Available,Not Available,Not Available,1757,2505
1975 December,1677,116,Not Available,Not Available,Not Available,Not Available,Not Available,1793,2675
1976 January,1588,123,Not Available,Not Available,Not Available,Not Available,Not Available,1711,2612
1976 February,1468,126,Not Available,Not Available,Not Available,Not Available,Not Available,1594,2490
1976 March,1408,132,Not Available,Not Available,Not Available,Not Available,Not Available,1540,2521
1976 April,1356,124,Not Available,Not Available,Not Available,Not Available,Not Available,1480,2597
1976 May,1375,121,Not Available,Not Available,Not Available,Not Available,Not Available,1496,2575
1976 June,1426,120,Not Available,Not Available,Not Available,Not Available,Not Available,1546,2607
1976 July,1465,132,Not Available,Not Available,Not Available,Not Available,Not Available,1597,2606
1976 August,1563,128,Not Available,Not Available,Not Available,Not Available,Not Available,1691,2656
1976 September,1618,126,Not Available,Not Available,Not Available,Not Available,Not Available,1744,2652
1976 October,1666,128,Not Available,Not Available,Not Available,Not Available,Not Available,1794,2639
1976 November,1703,137,Not Available,Not Available,Not Available,Not Available,Not Available,1840,2601
1976 December,1716,145,Not Available,Not Available,Not Available,Not Available,Not Available,1861,2660
1977 January,1704,146,Not Available,Not Available,Not Available,Not Available,Not Available,1850,2474
1977 February,1690,166,Not Available,Not Available,Not Available,Not Available,Not Available,1856,2628
1977 March,1724,163,Not Available,Not Available,Not Available,Not Available,Not Available,1887,2695
1977 April,1745,162,Not Available,Not Available,Not Available,Not Available,Not Available,1907,2804
1977 May,1813,169,Not Available,Not Available,Not Available,Not Available,Not Available,1982,2760
1977 June,1839,169,Not Available,Not Available,Not Available,Not Available,Not Available,2008,2895
1977 July,1851,172,Not Available,Not Available,Not Available,Not Available,Not Available,2023,2929
1977 August,1888,178,Not Available,Not Available,Not Available,Not Available,Not Available,2066,2942
1977 September,1906,178,Not Available,Not Available,Not Available,Not Available,Not Available,2084,2964
1977 October,1932,169,Not Available,Not Available,Not Available,Not Available,Not Available,2101,2973
1977 November,1945,168,Not Available,Not Available,Not Available,Not Available,Not Available,2113,2968
1977 December,1973,168,Not Available,Not Available,Not Available,Not Available,Not Available,2141,2898
1978 January,1956,172,Not Available,Not Available,Not Available,Not Available,Not Available,2128,2810
1978 February,1954,181,Not Available,Not Available,Not Available,Not Available,Not Available,2135,2906
1978 March,1979,180,Not Available,Not Available,Not Available,Not Available,Not Available,2159,2899
1978 April,2016,182,Not Available,Not Available,Not Available,Not Available,Not Available,2198,2997
1978 May,2066,183,Not Available,Not Available,Not Available,Not Available,Not Available,2249,2996
1978 June,2103,184,Not Available,Not Available,Not Available,Not Available,Not Available,2287,2987
1978 July,2122,185,Not Available,Not Available,Not Available,Not Available,Not Available,2307,3006
1978 August,2127,198,Not Available,Not Available,Not Available,Not Available,Not Available,2325,3089
1978 September,2138,194,Not Available,Not Available,Not Available,Not Available,Not Available,2332,3073
1978 October,2156,190,Not Available,Not Available,Not Available,Not Available,Not Available,2346,3078
1978 November,2169,187,Not Available,Not Available,Not Available,Not Available,Not Available,2356,2958
1978 December,2098,188,Not Available,Not Available,Not Available,Not Available,Not Available,2286,3063
1979 January,1992,207,Not Available,Not Available,Not Available,Not Available,Not Available,2199,3094
1979 February,1858,206,Not Available,Not Available,Not Available,Not Available,Not Available,2064,2698
1979 March,1768,203,Not Available,Not Available,Not Available,Not Available,Not Available,1971,2765
1979 April,1736,207,Not Available,Not Available,Not Available,Not Available,Not Available,1943,3034
1979 May,1762,198,Not Available,Not Available,Not Available,Not Available,Not Available,1960,3369
1979 June,1794,205,Not Available,Not Available,Not Available,Not Available,Not Available,1999,3506
1979 July,1889,205,Not Available,Not Available,Not Available,Not Available,Not Available,2094,3572
1979 August,2014,208,Not Available,Not Available,Not Available,Not Available,Not Available,2222,3621
1979 September,2069,215,Not Available,Not Available,Not Available,Not Available,Not Available,2284,3673
1979 October,2169,211,Not Available,Not Available,Not Available,Not Available,Not Available,2380,3954
1979 November,2255,205,Not Available,Not Available,Not Available,Not Available,Not Available,2460,3795
1979 December,2336,216,Not Available,Not Available,Not Available,Not Available,Not Available,2552,3709
1980 January,2352,219,Not Available,Not Available,Not Available,Not Available,Not Available,2571,3855
1980 February,2397,216,Not Available,Not Available,Not Available,Not Available,Not Available,2613,3923
1980 March,2439,219,Not Available,Not Available,Not Available,Not Available,Not Available,2658,4010
1980 April,2461,222,Not Available,Not Available,Not Available,Not Available,Not Available,2683,3871
1980 May,2568,229,Not Available,Not Available,Not Available,Not Available,Not Available,2797,4032
1980 June,2615,235,Not Available,Not Available,Not Available,Not Available,Not Available,2850,4112
1980 July,2718,235,Not Available,Not Available,Not Available,Not Available,Not Available,2953,4092
1980 August,2810,235,Not Available,Not Available,Not Available,Not Available,Not Available,3045,4155
1980 September,2868,231,Not Available,Not Available,Not Available,Not Available,Not Available,3099,4277
1980 October,2917,232,Not Available,Not Available,Not Available,Not Available,Not Available,3149,4290
1980 November,2973,247,Not Available,Not Available,Not Available,Not Available,Not Available,3220,4281
1980 December,3036,250,Not Available,Not Available,Not Available,Not Available,Not Available,3286,4172
1981 January,3141,245,Not Available,Not Available,Not Available,Not Available,Not Available,3386,4209
1981 February,3268,234,Not Available,Not Available,Not Available,Not Available,Not Available,3502,4359
1981 March,3343,252,Not Available,Not Available,Not Available,Not Available,Not Available,3595,4238
1981 April,3472,256,Not Available,Not Available,Not Available,Not Available,Not Available,3728,4430
1981 May,3568,249,Not Available,Not Available,Not Available,Not Available,Not Available,3817,4749
1981 June,3680,246,Not Available,Not Available,Not Available,Not Available,Not Available,3926,5093
1981 July,3736,262,Not Available,Not Available,Not Available,Not Available,Not Available,3998,5172
1981 August,3867,264,Not Available,Not Available,Not Available,Not Available,Not Available,4131,5196
1981 September,3976,266,Not Available,Not Available,Not Available,Not Available,Not Available,4242,5150
1981 October,4088,264,Not Available,Not Available,Not Available,Not Available,Not Available,4352,5142
1981 November,4166,270,Not Available,Not Available,Not Available,Not Available,Not Available,4436,5165
1981 December,4238,283,Not Available,Not Available,Not Available,Not Available,Not Available,4521,5279
1982 January,4156,280,Not Available,Not Available,Not Available,Not Available,Not Available,4436,5367
1982 February,3891,269,Not Available,Not Available,Not Available,Not Available,Not Available,4160,5220
1982 March,3554,262,Not Available,Not Available,Not Available,Not Available,Not Available,3816,4808
1982 April,3209,251,Not Available,Not Available,Not Available,Not Available,Not Available,3460,4334
1982 May,2927,251,Not Available,Not Available,Not Available,Not Available,Not Available,3178,4328
1982 June,2660,248,Not Available,Not Available,Not Available,Not Available,Not Available,2908,4041
1982 July,2504,242,Not Available,Not Available,Not Available,Not Available,Not Available,2746,3845
1982 August,2385,235,Not Available,Not Available,Not Available,Not Available,Not Available,2620,3761
1982 September,2255,228,Not Available,Not Available,Not Available,Not Available,Not Available,2483,3726
1982 October,2173,229,Not Available,Not Available,Not Available,Not Available,Not Available,2402,3762
1982 November,2286,214,Not Available,Not Available,Not Available,Not Available,Not Available,2500,3933
1982 December,2482,214,Not Available,Not Available,Not Available,Not Available,Not Available,2696,3865
1983 January,2404,218,Not Available,Not Available,Not Available,Not Available,Not Available,2622,3786
1983 February,1976,216,Not Available,Not Available,Not Available,Not Available,Not Available,2192,3629
1983 March,1793,210,Not Available,Not Available,Not Available,Not Available,Not Available,2003,3537
1983 April,1633,213,Not Available,Not Available,Not Available,Not Available,Not Available,1846,3413
1983 May,1717,209,Not Available,Not Available,Not Available,Not Available,Not Available,1926,3340
1983 June,1777,202,Not Available,Not Available,Not Available,Not Available,Not Available,1979,3323
1983 July,1861,178,Not Available,Not Available,Not Available,Not Available,Not Available,2039,3431
1983 August,1975,181,Not Available,Not Available,Not Available,Not Available,Not Available,2156,3868
1983 September,2077,175,Not Available,Not Available,Not Available,Not Available,Not Available,2252,3927
1983 October,2205,177,Not Available,Not Available,Not Available,Not Available,Not Available,2382,4025
1983 November,2413,159,Not Available,Not Available,Not Available,Not Available,Not Available,2572,4262
1983 December,2570,210,Not Available,Not Available,Not Available,Not Available,Not Available,2780,4255
1984 January,2450,216,Not Available,Not Available,Not Available,Not Available,Not Available,2666,4240
1984 February,2221,202,Not Available,Not Available,Not Available,Not Available,Not Available,2423,4337
1984 March,2047,198,Not Available,Not Available,Not Available,Not Available,Not Available,2245,3989
1984 April,1917,203,Not Available,Not Available,Not Available,Not Available,Not Available,2120,3859
1984 May,2075,202,Not Available,Not Available,Not Available,Not Available,Not Available,2277,4224
1984 June,2158,205,Not Available,Not Available,Not Available,Not Available,Not Available,2363,4864
1984 July,2180,206,Not Available,Not Available,Not Available,Not Available,Not Available,2386,5100
1984 August,2201,216,Not Available,Not Available,Not Available,Not Available,Not Available,2417,5061
1984 September,2206,214,Not Available,Not Available,Not Available,Not Available,Not Available,2420,5157
1984 October,2269,223,Not Available,Not Available,Not Available,Not Available,Not Available,2492,5053
1984 November,2397,232,Not Available,Not Available,Not Available,Not Available,Not Available,2629,5075
1984 December,2471,242,Not Available,Not Available,Not Available,Not Available,Not Available,2713,4953
1985 January,2210,242,Not Available,Not Available,Not Available,Not Available,Not Available,2452,4919
1985 February,1955,233,Not Available,Not Available,Not Available,Not Available,Not Available,2188,4856
1985 March,1732,223,Not Available,Not Available,Not Available,Not Available,Not Available,1955,4626
1985 April,1667,210,Not Available,Not Available,Not Available,Not Available,Not Available,1877,4538
1985 May,1665,200,Not Available,Not Available,Not Available,Not Available,Not Available,1865,4655
1985 June,1653,203,Not Available,Not Available,Not Available,Not Available,Not Available,1856,4673
1985 July,1715,194,Not Available,Not Available,Not Available,Not Available,Not Available,1909,4616
1985 August,1734,197,Not Available,Not Available,Not Available,Not Available,Not Available,1931,4845
1985 September,1733,197,Not Available,Not Available,Not Available,Not Available,Not Available,1930,4807
1985 October,1684,195,Not Available,Not Available,Not Available,Not Available,Not Available,1879,4729
1985 November,1725,187,Not Available,Not Available,Not Available,Not Available,Not Available,1912,4745
1985 December,1760,190,Not Available,Not Available,Not Available,Not Available,Not Available,1950,4582
1986 January,1635,175,Not Available,Not Available,Not Available,Not Available,Not Available,1810,4649
1986 February,1280,164,Not Available,Not Available,Not Available,Not Available,Not Available,1444,4498
1986 March,1007,132,Not Available,Not Available,Not Available,Not Available,Not Available,1139,3450
1986 April,794,112,Not Available,Not Available,Not Available,Not Available,Not Available,906,2942
1986 May,687,94,Not Available,Not Available,Not Available,Not Available,Not Available,781,2733
1986 June,632,73,Not Available,Not Available,Not Available,Not Available,Not Available,705,2644
1986 July,621,65,Not Available,Not Available,Not Available,Not Available,Not Available,686,2656
1986 August,665,65,Not Available,Not Available,Not Available,Not Available,Not Available,730,2598
1986 September,681,74,Not Available,Not Available,Not Available,Not Available,Not Available,755,2477
1986 October,739,80,Not Available,Not Available,Not Available,Not Available,Not Available,819,2468
1986 November,820,79,Not Available,Not Available,Not Available,Not Available,Not Available,899,2582
1986 December,874,89,Not Available,Not Available,Not Available,Not Available,Not Available,963,2744
1987 January,812,88,Not Available,Not Available,Not Available,Not Available,Not Available,900,2759
1987 February,743,75,Not Available,Not Available,Not Available,Not Available,Not Available,818,2669
1987 March,696,76,Not Available,Not Available,Not Available,Not Available,Not Available,772,2558
1987 April,681,73,Not Available,Not Available,Not Available,Not Available,Not Available,754,2762
1987 May,687,76,Not Available,Not Available,Not Available,Not Available,Not Available,763,2597
1987 June,703,85,Not Available,Not Available,Not Available,Not Available,Not Available,788,2745
1987 July,804,97,Not Available,Not Available,Not Available,Not Available,Not Available,901,2833
1987 August,894,109,626,352,Not Available,Not Available,Not Available,1003,3389
1987 September,987,114,713,364,Not Available,Not Available,Not Available,1101,3439
1987 October,1008,116,727,377,Not Available,Not Available,Not Available,1124,3610
1987 November,1034,118,746,386,Not Available,Not Available,Not Available,1152,3687
1987 December,1034,128,746,403,Not Available,Not Available,Not Available,1162,3664
1988 January,949,127,663,391,Not Available,Not Available,Not Available,1076,3375
1988 February,853,123,575,375,Not Available,Not Available,Not Available,976,3485
1988 March,832,119,582,338,Not Available,Not Available,Not Available,951,3416
1988 April,800,117,567,316,Not Available,Not Available,Not Available,917,3230
1988 May,768,123,562,300,Not Available,Not Available,Not Available,891,3450
1988 June,773,124,554,309,Not Available,Not Available,Not Available,897,3541
1988 July,786,126,568,309,Not Available,Not Available,Not Available,912,3425
1988 August,807,123,565,335,Not Available,Not Available,Not Available,930,3542
1988 September,805,122,512,390,Not Available,Not Available,Not Available,927,3344
1988 October,801,122,518,377,Not Available,Not Available,Not Available,923,3137
1988 November,789,129,490,406,Not Available,Not Available,Not Available,918,3090
1988 December,797,127,507,397,Not Available,Not Available,Not Available,924,3036
1989 January,731,110,455,364,Not Available,Not Available,Not Available,841,3081
1989 February,667,95,392,347,Not Available,Not Available,Not Available,762,2997
1989 March,660,93,407,325,Not Available,Not Available,Not Available,753,3277
1989 April,679,92,427,322,Not Available,Not Available,Not Available,771,3417
1989 May,662,92,431,311,Not Available,Not Available,Not Available,754,3458
1989 June,692,103,423,357,Not Available,Not Available,Not Available,795,3319
1989 July,718,114,432,386,Not Available,Not Available,Not Available,832,3367
1989 August,772,114,437,438,Not Available,Not Available,Not Available,886,3379
1989 September,848,107,460,484,Not Available,Not Available,Not Available,955,3495
1989 October,878,106,493,482,Not Available,Not Available,Not Available,984,3645
1989 November,922,119,532,498,Not Available,Not Available,Not Available,1041,3690
1989 December,948,117,541,517,Not Available,Not Available,Not Available,1065,3565
1990 January,885,113,514,477,Not Available,Not Available,Not Available,998,3537
1990 February,806,105,492,412,Not Available,Not Available,Not Available,911,3486
1990 March,797,108,478,421,Not Available,Not Available,Not Available,905,3611
1990 April,824,111,484,447,Not Available,Not Available,Not Available,935,3411
1990 May,841,120,493,465,Not Available,Not Available,Not Available,961,3403
1990 June,886,113,498,495,Not Available,Not Available,Not Available,999,3522
1990 July,902,108,497,496,Not Available,Not Available,Not Available,1010,3450
1990 August,879,108,506,466,Not Available,Not Available,Not Available,987,3605
1990 September,935,107,566,460,Not Available,Not Available,Not Available,1042,3905
1990 October,974,99,588,469,Not Available,Not Available,Not Available,1073,3988
1990 November,1031,106,615,495,Not Available,Not Available,Not Available,1137,3984
1990 December,1035,101,643,460,Not Available,Not Available,Not Available,1136,3994
1991 January,977,91,633,413,102,96,870,1068,3579
1991 February,896,88,564,405,100,124,761,984,3512
1991 March,848,81,520,389,88,122,715,929,3444
1991 April,770,95,469,374,72,124,659,865,3416
1991 May,721,98,430,354,61,126,633,819,3394
1991 June,774,93,483,342,75,115,677,867,3363
1991 July,764,80,472,332,70,106,668,844,3369
1991 August,735,68,451,326,64,106,632,803,3257
1991 September,704,71,433,314,69,97,609,775,3208
1991 October,727,68,433,330,71,90,634,795,3138
1991 November,736,72,457,328,65,91,652,808,3110
1991 December,731,65,469,308,64,89,643,796,3183
1992 January,654,56,400,294,59,92,559,710,2912
1992 February,618,51,378,277,54,96,519,669,2704
1992 March,594,54,381,250,51,100,497,648,2592
1992 April,587,55,370,251,57,99,486,642,2727
1992 May,591,47,358,260,60,88,490,638,2564
1992 June,577,44,343,260,58,80,483,621,2369
1992 July,628,48,349,310,57,80,540,676,2492
1992 August,635,51,334,331,56,76,554,686,2630
1992 September,672,45,345,356,50,66,602,717,2825
1992 October,750,53,392,399,48,74,680,803,3076
1992 November,822,60,418,451,46,81,755,882,2977
1992 December,867,59,397,509,50,88,788,926,3218
1993 January,752,72,335,454,46,90,689,824,3218
1993 February,615,69,311,334,44,88,553,684,2899
1993 March,549,62,315,268,44,76,494,611,2829
1993 April,543,69,320,270,46,80,484,612,2703
1993 May,564,73,323,294,48,87,502,637,2848
1993 June,612,83,350,327,48,99,549,695,3087
1993 July,656,85,368,360,59,90,592,741,3178
1993 August,710,87,397,390,59,102,637,797,3423
1993 September,759,89,418,421,55,109,684,848,3341
1993 October,767,93,441,411,46,118,696,860,3519
1993 November,769,99,453,408,52,120,696,868,3604
1993 December,754,103,425,426,55,129,673,857,3662
1994 January,690,99,356,425,45,131,613,789,3386
1994 February,659,95,337,405,46,135,573,754,3063
1994 March,636,99,323,403,50,134,551,735,2977
1994 April,617,106,314,398,51,136,537,723,2649
1994 May,612,104,320,382,44,133,539,716,2798
1994 June,643,113,331,408,38,144,574,756,2785
1994 July,664,107,341,415,44,136,591,771,2992
1994 August,671,95,320,433,49,135,583,766,2941
1994 September,712,97,325,471,56,142,612,809,3010
1994 October,723,99,342,467,56,137,629,822,2991
1994 November,729,106,361,460,58,144,633,835,2977
1994 December,709,107,354,447,57,139,620,816,2964
1995 January,642,106,325,411,57,133,558,748,2855
1995 February,613,100,326,375,47,139,526,713,2877
1995 March,575,90,322,331,46,139,481,665,2862
1995 April,587,91,328,336,53,136,489,678,2806
1995 May,579,100,325,335,58,143,478,679,3020
1995 June,578,96,301,352,48,142,484,674,3107
1995 July,619,104,301,399,49,145,529,723,3133
1995 August,642,103,327,399,51,150,543,745,3103
1995 September,662,103,333,413,53,153,560,765,3225
1995 October,656,105,332,414,51,152,558,761,3105
1995 November,668,104,330,430,53,150,568,772,3157
1995 December,654,109,325,427,56,159,549,763,3239
1996 January,598,111,295,406,51,156,502,709,3290
1996 February,598,102,283,411,52,155,494,700,3509
1996 March,618,96,286,421,55,154,505,714,3253
1996 April,628,113,286,446,55,174,513,741,3331
1996 May,648,116,288,467,61,174,528,764,3345
1996 June,662,112,298,471,54,157,563,774,3473
1996 July,677,107,290,488,48,149,587,784,3723
1996 August,703,108,297,488,59,163,588,811,3582
1996 September,702,109,301,505,62,178,571,811,3560
1996 October,728,108,328,499,65,180,591,836,3498
1996 November,741,107,363,482,67,194,587,848,3489
1996 December,736,116,361,489,64,189,599,852,3287
1997 January,712,110,342,478,63,172,586,822,3237
1997 February,742,107,356,492,68,162,619,849,3364
1997 March,770,127,377,518,73,193,630,897,3189
1997 April,775,126,373,526,76,197,629,901,3398
1997 May,804,120,379,541,71,195,658,924,3483
1997 June,855,121,396,577,72,206,698,976,3575
1997 July,844,125,382,584,69,218,682,969,3766
1997 August,868,125,409,581,67,235,691,993,3705
1997 September,881,128,392,614,72,228,708,1009,3667
1997 October,875,121,390,602,73,219,704,996,3546
1997 November,857,126,354,625,59,225,700,983,3622
1997 December,884,129,361,648,65,229,719,1013,3433
1998 January,860,133,380,609,62,236,695,993,3476
1998 February,835,139,380,589,64,251,659,974,3378
1998 March,796,136,327,601,56,248,627,932,3283
1998 April,748,138,291,591,57,235,594,886,3268
1998 May,722,133,272,580,49,224,582,855,3396
1998 June,726,128,267,585,41,222,591,854,3079
1998 July,695,121,264,549,38,206,572,816,3147
1998 August,674,118,226,565,36,197,560,792,2973
1998 September,656,118,215,559,30,199,545,774,2788
1998 October,623,111,214,519,35,184,515,734,2602
1998 November,579,109,190,499,43,167,479,688,2539
1998 December,545,102,155,491,40,159,448,647,2244
1999 January,483,104,125,461,38,156,394,587,1932
1999 February,441,101,117,425,36,147,358,542,1904
1999 March,420,106,114,412,32,156,337,526,1994
1999 April,397,99,125,371,30,150,316,496,2054
1999 May,414,102,136,380,32,154,330,516,2096
1999 June,458,100,124,434,33,159,366,558,2133
1999 July,489,99,108,478,42,153,393,588,2391
1999 August,533,106,111,527,40,147,453,639,2388
1999 September,587,109,130,565,43,157,496,696,2445
1999 October,630,111,137,601,44,169,528,741,2472
1999 November,663,119,145,635,49,180,554,782,2472
1999 December,676,122,161,636,50,177,572,798,2500
2000 January,650,125,143,632,53,172,551,775,2550
2000 February,641,122,147,616,57,184,522,763,2705
2000 March,649,124,173,600,45,191,537,773,2734
2000 April,680,125,196,609,47,198,560,805,2702
2000 May,705,139,199,645,46,209,589,844,2675
2000 June,739,139,201,677,52,215,611,878,2619
2000 July,784,158,208,733,60,237,645,942,2694
2000 August,828,159,206,779,57,242,688,987,2717
2000 September,865,146,199,810,62,215,734,1011,2722
2000 October,908,147,212,842,62,234,759,1055,2719
2000 November,916,151,234,832,65,251,751,1067,2732
2000 December,950,147,242,854,61,256,781,1097,2738
2001 January,944,174,239,879,62,262,795,1118,2726
2001 February,973,163,237,898,69,263,805,1136,2755
2001 March,996,167,248,913,74,274,816,1163,2730
2001 April,1037,169,247,957,76,288,843,1206,2728
2001 May,1063,171,235,997,82,309,843,1234,2770
2001 June,1107,163,219,1050,82,311,877,1270,2760
2001 July,1121,157,219,1058,82,304,892,1278,1784
2001 August,1105,147,219,1032,83,299,870,1252,1865
2001 September,1049,144,220,972,86,291,817,1193,1832
2001 October,978,133,198,913,77,277,757,1111,1824
2001 November,866,134,174,825,75,254,670,1000,1774
2001 December,778,123,147,754,72,237,592,901,1654
2002 January,741,126,141,725,65,228,574,867,1683
2002 February,702,123,144,679,57,232,536,825,1843
2002 March,649,114,144,617,54,223,485,763,1791
2002 April,645,105,136,612,57,213,480,750,1852
2002 May,721,105,134,690,63,219,544,826,1856
2002 June,732,110,138,704,68,237,537,842,1832
2002 July,740,111,133,716,60,245,546,851,1832
2002 August,737,111,125,721,57,230,561,848,1891
2002 September,746,114,122,736,60,235,566,860,1861
2002 October,740,111,140,709,66,224,562,851,1878
2002 November,725,109,146,683,60,216,558,834,1817
2002 December,742,114,137,714,57,220,579,856,1821
2003 January,743,111,132,718,56,229,568,854,1898
2003 February,797,110,153,750,56,238,614,907,1928
2003 March,836,105,171,767,62,240,639,941,1950
2003 April,877,106,185,795,66,242,675,983,1954
2003 May,921,113,167,864,70,271,694,1034,1927
2003 June,958,109,152,910,87,270,710,1067,1957
2003 July,974,107,153,924,94,273,714,1081,2016
2003 August,979,111,153,932,100,285,705,1090,2026
2003 September,984,109,154,936,91,282,720,1093,1966
2003 October,997,105,158,941,93,263,742,1102,2064
2003 November,1005,106,158,952,98,273,741,1111,1973
2003 December,1010,104,153,959,98,273,744,1114,1946
2004 January,1001,100,143,955,93,275,733,1101,2019
2004 February,1020,99,153,961,97,290,732,1119,2043
2004 March,1041,94,164,968,97,296,743,1135,2047
2004 April,1058,93,154,996,105,289,758,1151,2050
2004 May,1068,96,156,1007,119,284,761,1164,2095
2004 June,1080,96,164,1011,130,314,732,1176,2067
2004 July,1116,97,170,1041,133,331,749,1213,2068
2004 August,1139,95,170,1063,147,322,766,1234,2106
2004 September,1148,92,166,1073,127,331,783,1240,2078
2004 October,1145,95,171,1068,126,335,779,1240,2111
2004 November,1160,102,183,1077,128,342,793,1262,2024
2004 December,1140,106,180,1064,128,319,800,1246,2063
2005 January,1153,102,178,1075,134,322,800,1255,2091
2005 February,1170,106,192,1083,144,343,789,1276,2144
2005 March,1209,97,186,1118,156,345,804,1306,2143
2005 April,1241,93,171,1163,165,331,838,1334,2216
2005 May,1229,91,150,1170,171,315,833,1320,2242
2005 June,1259,96,146,1208,177,329,849,1355,2238
2005 July,1297,101,170,1226,183,343,872,1398,2247
2005 August,1333,102,206,1227,192,355,889,1436,2276
2005 September,1360,91,210,1236,198,349,905,1452,2268
2005 October,1392,87,217,1257,208,344,927,1479,2315
2005 November,1402,84,253,1228,209,351,926,1486,2247
2005 December,1393,77,247,1220,220,356,895,1470,2237
2006 January,1396,77,242,1228,235,362,876,1473,2285
2006 February,1455,79,209,1321,250,368,916,1533,2339
2006 March,1464,88,244,1305,250,361,940,1551,2342
2006 April,1502,95,259,1337,257,383,957,1597,2340
2006 May,1536,100,261,1373,274,400,962,1635,2398
2006 June,1570,95,285,1376,286,394,985,1665,2382
2006 July,1587,94,298,1379,286,392,1003,1681,2342
2006 August,1639,99,316,1417,304,393,1041,1738,2404
2006 September,1646,93,305,1429,309,404,1026,1739,2380
2006 October,1644,90,288,1441,320,398,1016,1734,2440
2006 November,1620,87,288,1414,308,378,1020,1706,2366
2006 December,1634,84,281,1431,328,380,1011,1718,2351
2007 January,1630,84,270,1440,335,376,1004,1714,2307
